link,price,manufacturer,model,reg-year,mileage,engine-size,fuel-type,transmission,drive,finance
https://www.namcars.net/Toyota-COROLLA-1.6-PROFESSIONAL-1400689849,"N$ 109,900",Toyota,COROLLA 1.6 PROFESSIONAL,2012 Year,"157,000 km mileage",1.6L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Volkswagen-VW-UP-1400695263,"N$ 109,900",Volkswagen,VW UP,2015 Year,"46,000 km mileage",1.0L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Mitsubishi-Mirage-1.2-1400695029,"N$ 109,900",Mitsubishi,Mirage 1.2,2015 Year,"57,500 km mileage",1.2L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Lexus-RX350-1400695301,"N$ 110,000",Lexus,RX350,2008 Year,"173,400 km mileage",3.5L Engine,Petrol Fuel,Automatic transmission,All-Wheel Drive,Finance: Not available
https://www.namcars.net/Volkswagen-Polo-1.2-TSI-Highline-1400692004,"N$ 110,000",Volkswagen,Polo 1.2 TSI Highline,2012 Year,"59,500 km mileage",1.2L Engine,Petrol Fuel,DSG transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Volkswagen-Jetta-1400685892,"N$ 110,000",Volkswagen,Jetta,2010 Year,"45,054 km mileage",1.4L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Land-Rover-Defender-1400695113,"N$ 110,000",Land Rover,Defender,1989 Year,"217,000 km mileage",3.5L Engine,Petrol Fuel,Manual transmission,,
https://www.namcars.net/Kia-Cerato-1400695154,"N$ 110,000",Kia,Cerato,2013 Year,"70,000 km mileage",1.6L Engine,Petrol Fuel,Manual transmission,,
https://www.namcars.net/Volkswagen-Polo-TSI-Highliner-Sunroof-1400695673,"N$ 110,000",Volkswagen,Polo TSI Highliner / Sunroof,2011 Year,"74,950 km mileage",1.2L Engine,Petrol Fuel,DSG transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Hyundai-i20-1.2-Motion-1400695440,"N$ 110,000",Hyundai,i20 1.2 Motion,2014 Year,"155,500 km mileage",1.2L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Ford-Galaxy-1400694933,"N$ 110,000",Ford,Galaxy,2012 Year,"60,870 km mileage",2.0L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Nissan-Nissan-Hardbody-Np300-2.0i-Lwb-1400692890,"N$ 110,000",Nissan,Nissan Hardbody Np300 2.0i Lwb,2014 Year,"116,700 km mileage",2.0L Engine,Petrol Fuel,Manual transmission,4x2,Finance: Available
https://www.namcars.net/Mitsubishi-Mirage-1.2-GLS-1400692654,"N$ 110,000",Mitsubishi,Mirage 1.2 GLS,2015 Year,"57,000 km mileage",1.2L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Honda-Civic-1400684780,"N$ 110,000",Honda,Civic,2010 Year,"40,161 km mileage",1.3L Engine,Hybrid Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Ford-Figo-Ambiente-1400670306,"N$ 112,900",Ford,Figo Ambiente,2015 Year,"51,650 km mileage",1.4L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Toyota-Etios-1.5-XS-Sedan-1400689018,"N$ 114,900",Toyota,Etios 1.5 XS Sedan,2014 Year,"68,100 km mileage",1.5L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Toyota-Auris-1.6-Xi-1400689531,"N$ 115,000",Toyota,Auris 1.6 Xi,2012 Year,"94,289 km mileage",1.6L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Toyota-Etios-1.5-XS-Hatch-1400692861,"N$ 115,000",Toyota,Etios 1.5 XS Hatch,2015 Year,"66,000 km mileage",1.5L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Alfa-Romeo-Giulietta-1400692630,"N$ 115,000",Alfa Romeo,Giulietta,2012 Year,"118,000 km mileage",1.4L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Toyota-Corolla-1.6-L-Professional-1400695191,"N$ 115,000",Toyota,Corolla 1.6 L Professional,2012 Year,"94,000 km mileage",1.6L Engine,Petrol Fuel,Manual transmission,,
https://www.namcars.net/Volkswagen-Passat-TSI-Bluemotion-1400695709,"N$ 115,000",Volkswagen,Passat TSI Bluemotion,2011 Year,"88,300 km mileage",1.4L Engine,Petrol Fuel,DSG transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Volvo-V40-T4-1400694709,"N$ 115,000",Volvo,V40 T4,2013 Year,"100,190 km mileage",1.6L Engine,Petrol Fuel,Automatic Tiptronic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Volkswagen-Polo-Vivo-GP-1.4-Blueline-1400695739,"N$ 115,000",Volkswagen,Polo Vivo GP 1.4 Blueline,2014 Year,"35,700 km mileage",1.4L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Volvo-S60-1400694730,"N$ 115,000",Volvo,S60,2012 Year,"60,281 km mileage",1.6L Engine,Petrol Fuel,Automatic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Audi-A1-1.4-TFSI-1400690381,"N$ 115,000",Audi,A1  1.4 TFSI,2011 Year,"110,000 km mileage",1.4L Engine,Petrol Fuel,Automatic Tiptronic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Opel-Corsa-Essentia-1400693259,"N$ 115,900",Opel,Corsa Essentia,2015 Year,"65,100 km mileage",1.4L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Toyota-Etios-1.5-XS-1400693442,"N$ 115,900",Toyota,Etios 1.5 XS,2014 Year,"41,000 km mileage",1.5L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Volkswagen-Touran-Tsi-1400693511,"N$ 116,000",Volkswagen,Touran Tsi,2013 Year,"66,900 km mileage",1.4L Engine,Petrol Fuel,DSG transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Chevrolet-2016-chev-ute-1400695711,"N$ 118,500",Chevrolet,2016 chev ute,2016 Year,"32,997 km mileage",1.4L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/GWM-H5-VGT-1400686596,"N$ 119,000",GWM,H5 VGT,2014 Year,"57,500 km mileage",2.0L Engine,Petrol Fuel,Manual transmission,4x4,Finance: Available
https://www.namcars.net/Nissan-ALMERA-1.5L-1400692520,"N$ 119,000",Nissan,ALMERA 1.5L,2015 Year,"67,521 km mileage",1.5L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Audi-A3-1400694843,"N$ 119,000",Audi,A3,2011 Year,"76,750 km mileage",1.4L Engine,Petrol Fuel,Automatic S-tronic transmission,Front-Wheel Drive,Finance: Not available
https://www.namcars.net/Honda-Ballade-1.5-elegance-manual-4-door-NO-DEPOSIT-1400694790,"N$ 119,900",Honda,Ballade 1.5 elegance manual 4 door NO DEPOSIT,2014 Year,"61,500 km mileage",1.5L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Toyota-Etios-1.5-XS-Sedan-1400691985,"N$ 119,900",Toyota,Etios 1.5 XS Sedan,2016 Year,"84,000 km mileage",1.5L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Nissan-JUKE-1.6-GIG-T-TEKNA-1400695589,"N$ 119,900",Nissan,JUKE 1.6 GIG T TEKNA,2012 Year,"145,000 km mileage",1.6L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Hyundai-I20-1400695151,"N$ 119,900",Hyundai,I20,2015 Year,"132,000 km mileage",1.2L Engine,Petrol Fuel,Automatic Multitronic transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Chevrolet-Utility-1.4-1400692627,"N$ 119,900",Chevrolet,Utility 1.4,2016 Year,"106,100 km mileage",1.4L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Volkswagen-Polo-1.6-TDI-1400690142,"N$ 119,900",Volkswagen,Polo 1.6 TDI,2010 Year,"186,000 km mileage",1.6L Engine,Diesel Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Kia-Picanto-1.2-EX-1400694761,"N$ 119,900",Kia,Picanto 1.2 EX,2015 Year,"65,000 km mileage",1.2L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Tata-Bolt-1.2T-XMS-1400695633,"N$ 119,995",Tata,Bolt 1.2T XMS,2016 Year,"36,000 km mileage",1.2L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Hyundai-Accent-1.6-GLS-1400688232,"N$ 119,995",Hyundai,Accent 1.6 GLS,2013 Year,"80,000 km mileage",1.6L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Renault-Clio-T-Expression-1400692666,"N$ 119,995",Renault,Clio T Expression,2013 Year,"81,000 km mileage",1.0L Engine,Petrol Fuel,Manual transmission,Front-Wheel Drive,Finance: Available
https://www.namcars.net/Isuzu-KB-1400695306,"N$ 120,000",Isuzu,KB,2009 Year,"143,000 km mileage",3.6L Engine,Petrol Fuel,Manual transmission,Air Conditioning,Cruise Control
https://www.namcars.net/Jeep-Cherokee-2.8-CRD-LTD-a-t-1400693043,"N$ 120,000",Jeep,Cherokee 2.8 CRD LTD a/t,2010 Year,"245,000 km mileage",2.8L Engine,Diesel Fuel,Automatic transmission,All-Wheel Drive,Finance: Not available
https://www.namcars.net/Alfa-Romeo-Giulietta-QV-Line-5Dr-1400695347,"N$ 120,000",Alfa Romeo,Giulietta QV Line 5Dr,2012 Year,"124,000 km mileage",1.8L Engine,Petrol Fuel,Manual transmission,Air Conditioning,Climate Control
https://www.namcars.net/Land-Rover-Disco-1-V8-Petrol-1400695360,"N$ 120,000",Land Rover,Disco 1 - V8 Petrol,1995 Year,"240,000 km mileage",3.9L Engine,Petrol Fuel,Manual transmission,"camping ready, solar panels, battery split system, 2 inch body lift kit, lots of new technical updates: Price includes:

Front Runner Roof Rack,
Front Runner Spade, 
4 x Front Runner Jerrycans,
50 l Water Tank,
Front Runner Highlift Jack,
Ironman Sun Awning,
brand new Dunlop AT tyres,
new Terrafirma suspension (shocks and coils),
new fuel pump,
new injectors,
new waterpump,
new spark plugs,
new distributor,
new headlamps,
new windscreen,
new deep cycle 2nd battery,
new washer/bearing kit,
lots of new backup spares,
new oils and filter change,
and much more!

Please contact me at +33 783 60 60 40 via Whatsapp. Thx",
